Movie1,Movie2,Pic,corrAns,Experiment,Group,Condition,PACondition,Agent,Participant,Object,AnimalType,ObjectType,ITOM.thisRepN,ITOM.thisTrialN,ITOM.thisN,ITOM.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,image.started,image.stopped,key_resp_Judge.keys,key_resp_Judge.rt,key_resp_Judge.started,key_resp_Judge.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,participant,session,age,gender,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,37.3839196,None,space,3.1740314,37.3839196,None,,,,,,,,,,,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Lion_P+A-.mkv,TrialsAll\Lion+.mkv,TrialsAll\Lion+.png,space,1,B,P+A-,C0,A-,P+,O+,Lion,Orange,0,0,0,10,,,,,,,40.6235704,None,58.18805975,None,space,1.9754057,56.1801587,None,58.2031356,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\OX_P-A-_C2.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P-A-_C2,C2,A-,P-,O-,OX,Pineapple,0,1,1,13,,,,,,,60.2126995,None,77.6293557,81.1416724,None,,75.6389571,None,82.6407779,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Deer_P-A-_C2.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P-A-_C2,C2,A-,P-,O-,Deer,Apple,0,2,2,5,,,,,,,84.6411813,None,102.0031934,105.5023536,None,,99.9903511,None,107.0023118,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Cat_P+A-.mkv,TrialsAll\Cat+.mkv,TrialsAll\Cat+.png,space,1,B,P+A-,C0,A-,P+,O+,Cat,Car,0,3,3,2,,,,,,,109.001717,None,126.4741427,None,space,2.0928842,124.4805713,None,126.5986545,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Cat_P+A+_C1.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P+A+_C1,C1,A+,P+,O-,Cat,Car,0,4,4,3,,,,,,,128.5987512,None,145.9942914,149.5101242,None,,143.9924293,None,150.9935894,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Horse_P-A-_C2.mkv,TrialsAll\Horse+.mkv,TrialsAll\Horse+.png,space,1,B,P-A-_C2,C2,A-,P-,O+,Horse,Pitaya,0,5,5,9,,,,,,,152.9929577,None,170.3724147,None,space,1.9726847,168.3834456,None,170.3890606,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Dog_P-A+.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P-A+,C0,A+,P-,O-,Dog,Ball,0,6,6,1,,,,,,,172.3888278,None,189.8002778,193.3009846,None,,187.7998926,None,194.8005153,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Horse_P-A+.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P-A+,C0,A+,P-,O-,Horse,Pitaya,0,7,7,8,,,,,,,196.8001316,None,214.1659168,217.6787809,None,,212.1696275,None,219.1782741,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\OX_P-A+.mkv,TrialsAll\OX+.mkv,TrialsAll\OX+.png,space,1,B,P-A+,C0,A+,P-,O+,OX,Pineapple,0,8,8,12,,,,,,,221.1784887,None,None,None,space,1.9391593,236.5647756,None,238.5304805,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Tiger_P-A+.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P-A+,C0,A+,P-,O-,Tiger,Mango,0,9,9,17,,,,,,,240.5397536,None,258.0186787,261.5194472,None,,256.0098445,None,263.018429,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Tiger_P-A-_C2.mkv,TrialsAll\Tiger+.mkv,TrialsAll\Tiger+.png,space,1,B,P-A-_C2,C2,A-,P-,O+,Tiger,Mango,0,10,10,16,,,,,,,265.0181761,None,None,None,space,1.9075493,280.3872656,None,282.3145491,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\EP_P+A+_C1.mkv,TrialsAll\EP+.mkv,TrialsAll\EP+.png,space,1,B,P+A+_C1,C1,A+,P+,O+,Elephant,Pomegranate Ø¡Ò,0,11,11,6,,,,,,,284.3145358,None,None,None,space,1.9154468,299.6799454,None,301.6328337,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\EP_P+A-.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P+A-,C0,A-,P+,O-,Elephant,Pomegranate Ø¡Ò,0,12,12,7,,,,,,,303.6431312,None,321.0042768,324.5055648,None,,318.9977408,None,326.0056126,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Deer_P-A+.mkv,TrialsAll\Deer+.mkv,TrialsAll\Deer+.png,space,1,B,P-A+,C0,A+,P-,O+,Deer,Apple,0,13,13,4,,,,,,,328.0049435,None,None,None,space,1.9380533,343.436708,None,345.3903358,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
TrialsAll\Lion_P+A+_C1.mkv,TrialsAll\O-.mkv,TrialsAll\O-.png,None,1,B,P+A+_C1,C1,A+,P+,O-,Lion,Orange,0,14,14,11,,,,,,,347.4012769,None,364.7550377,368.2621799,None,,362.757438,None,369.7624037,None,,,¬Êœ„”®,1,24,≈Æ,2021_Dec_25_1511,itomExp,2021.2.3,60.25355903
